"ID"	"State"	"InitialState"
"1"	"TCGA.3B.A9HI"	"S01"	"IS01"
"2"	"TCGA.3B.A9HJ"	"S01"	"IS01"
"3"	"TCGA.3B.A9HO"	"S01"	"IS01"
"4"	"TCGA.DX.A1L1"	"S01"	"IS01"
"5"	"TCGA.DX.A1L3"	"S01"	"IS01"
"6"	"TCGA.DX.A23T"	"S01"	"IS01"
"7"	"TCGA.DX.A23V"	"S01"	"IS01"
"8"	"TCGA.DX.A23Y"	"S01"	"IS01"
"9"	"TCGA.DX.A2J1"	"S01"	"IS01"
"10"	"TCGA.DX.A2J4"	"S01"	"IS01"
"11"	"TCGA.DX.A3LS"	"S01"	"IS01"
"12"	"TCGA.DX.A3LU"	"S01"	"IS01"
"13"	"TCGA.DX.A3M2"	"S01"	"IS01"
"14"	"TCGA.DX.A3U6"	"S01"	"IS01"
"15"	"TCGA.DX.A6BE"	"S01"	"IS01"
"16"	"TCGA.DX.A6BG"	"S01"	"IS01"
"17"	"TCGA.DX.A6YQ"	"S01"	"IS01"
"18"	"TCGA.DX.A6YU"	"S01"	"IS01"
"19"	"TCGA.DX.A7ES"	"S01"	"IS01"
"20"	"TCGA.DX.A7ET"	"S01"	"IS01"
"21"	"TCGA.DX.A8BG"	"S01"	"IS01"
"22"	"TCGA.DX.A8BH"	"S01"	"IS01"
"23"	"TCGA.DX.A8BK"	"S01"	"IS01"
"24"	"TCGA.DX.A8BL"	"S01"	"IS01"
"25"	"TCGA.DX.A8BO"	"S01"	"IS01"
"26"	"TCGA.DX.A8BP"	"S01"	"IS01"
"27"	"TCGA.DX.A8BQ"	"S01"	"IS01"
"28"	"TCGA.DX.A8BR"	"S01"	"IS01"
"29"	"TCGA.DX.AB2O"	"S01"	"IS01"
"30"	"TCGA.DX.AB2S"	"S01"	"IS01"
"31"	"TCGA.DX.AB2T"	"S01"	"IS01"
"32"	"TCGA.DX.AB2Z"	"S01"	"IS01"
"33"	"TCGA.DX.AB32"	"S01"	"IS01"
"34"	"TCGA.DX.AB37"	"S01"	"IS01"
"35"	"TCGA.IE.A4EJ"	"S01"	"IS01"
"36"	"TCGA.MB.A5Y9"	"S01"	"IS01"
"37"	"TCGA.MB.A8JK"	"S01"	"IS01"
"38"	"TCGA.QQ.A5VA"	"S01"	"IS01"
"39"	"TCGA.QQ.A8VG"	"S01"	"IS01"
"40"	"TCGA.RN.A68Q"	"S01"	"IS01"
"41"	"TCGA.SG.A849"	"S01"	"IS01"
"42"	"TCGA.SI.A71O"	"S01"	"IS01"
"43"	"TCGA.SI.A71P"	"S01"	"IS01"
"44"	"TCGA.UE.A6QT"	"S01"	"IS01"
"45"	"TCGA.UE.A6QU"	"S01"	"IS01"
"46"	"TCGA.VT.A80J"	"S01"	"IS01"
"47"	"TCGA.VT.AB3D"	"S01"	"IS01"
"48"	"TCGA.WK.A8XO"	"S01"	"IS01"
"49"	"TCGA.WK.A8Y0"	"S01"	"IS01"
"50"	"TCGA.X6.A8C3"	"S01"	"IS01"
"51"	"TCGA.3B.A9HL"	"S02"	"IS02"
"52"	"TCGA.DX.A1KU"	"S02"	"IS02"
"53"	"TCGA.DX.A1KX"	"S02"	"IS02"
"54"	"TCGA.DX.A1KZ"	"S02"	"IS02"
"55"	"TCGA.DX.A1L2"	"S02"	"IS02"
"56"	"TCGA.DX.A1L4"	"S02"	"IS02"
"57"	"TCGA.DX.A23Z"	"S02"	"IS02"
"58"	"TCGA.DX.A2J0"	"S02"	"IS02"
"59"	"TCGA.DX.A3LT"	"S02"	"IS02"
"60"	"TCGA.DX.A3LY"	"S02"	"IS02"
"61"	"TCGA.DX.A3M1"	"S02"	"IS02"
"62"	"TCGA.DX.A3U5"	"S02"	"IS02"
"63"	"TCGA.DX.A6BF"	"S02"	"IS02"
"64"	"TCGA.DX.A6YR"	"S02"	"IS02"
"65"	"TCGA.DX.A6YT"	"S02"	"IS02"
"66"	"TCGA.DX.A6YX"	"S02"	"IS02"
"67"	"TCGA.DX.A6YZ"	"S02"	"IS02"
"68"	"TCGA.DX.A6Z0"	"S02"	"IS02"
"69"	"TCGA.DX.A7EU"	"S02"	"IS02"
"70"	"TCGA.DX.A8BM"	"S02"	"IS02"
"71"	"TCGA.DX.A8BN"	"S02"	"IS02"
"72"	"TCGA.DX.A8BS"	"S02"	"IS02"
"73"	"TCGA.DX.A8BT"	"S02"	"IS02"
"74"	"TCGA.DX.A8BV"	"S02"	"IS02"
"75"	"TCGA.DX.A8BX"	"S02"	"IS02"
"76"	"TCGA.DX.AB2E"	"S02"	"IS02"
"77"	"TCGA.DX.AB2F"	"S02"	"IS02"
