"ID"	"State"	"InitialState"
"1"	"TCGA.DX.A1KY"	"S01"	"IS01"
"2"	"TCGA.DX.A23R"	"S01"	"IS01"
"3"	"TCGA.DX.A2IZ"	"S01"	"IS01"
"4"	"TCGA.DX.A7EF"	"S01"	"IS01"
"5"	"TCGA.DX.A7EI"	"S01"	"IS01"
"6"	"TCGA.DX.A7EO"	"S01"	"IS01"
"7"	"TCGA.DX.A7ER"	"S01"	"IS01"
"8"	"TCGA.DX.A8BU"	"S01"	"IS01"
"9"	"TCGA.DX.AB2H"	"S01"	"IS01"
"10"	"TCGA.DX.AB2J"	"S01"	"IS01"
"11"	"TCGA.DX.AB2O"	"S01"	"IS01"
"12"	"TCGA.DX.AB30"	"S01"	"IS01"
"13"	"TCGA.DX.AB36"	"S01"	"IS01"
"14"	"TCGA.DX.AB3B"	"S01"	"IS01"
"15"	"TCGA.DX.AB3C"	"S01"	"IS01"
"16"	"TCGA.FX.A2QS"	"S01"	"IS01"
"17"	"TCGA.FX.A8OO"	"S01"	"IS01"
"18"	"TCGA.MJ.A850"	"S01"	"IS01"
"19"	"TCGA.QC.AA9N"	"S01"	"IS01"
"20"	"TCGA.QQ.A8VB"	"S01"	"IS01"
"21"	"TCGA.QQ.A8VH"	"S01"	"IS01"
"22"	"TCGA.RN.A68Q"	"S01"	"IS01"
"23"	"TCGA.SG.A6Z7"	"S01"	"IS01"
"24"	"TCGA.SI.A71O"	"S01"	"IS01"
"25"	"TCGA.SI.A71Q"	"S01"	"IS01"
"26"	"TCGA.SI.AA8C"	"S01"	"IS01"
"27"	"TCGA.WK.A8XQ"	"S01"	"IS01"
"28"	"TCGA.WK.A8XT"	"S01"	"IS01"
"29"	"TCGA.X6.A8C2"	"S01"	"IS01"
"30"	"TCGA.X6.A8C3"	"S01"	"IS01"
"31"	"TCGA.X6.A8C7"	"S01"	"IS01"
"32"	"TCGA.X9.A973"	"S01"	"IS01"
"33"	"TCGA.Z4.AAPF"	"S01"	"IS01"
"34"	"TCGA.3B.A9HI"	"S02"	"IS02"
"35"	"TCGA.3B.A9HJ"	"S02"	"IS02"
"36"	"TCGA.3B.A9HL"	"S02"	"IS02"
"37"	"TCGA.DX.A1KU"	"S02"	"IS02"
"38"	"TCGA.DX.A1KW"	"S02"	"IS02"
"39"	"TCGA.DX.A1KX"	"S02"	"IS02"
"40"	"TCGA.DX.A1KZ"	"S02"	"IS02"
"41"	"TCGA.DX.A1L0"	"S02"	"IS02"
"42"	"TCGA.DX.A1L1"	"S02"	"IS02"
"43"	"TCGA.DX.A1L2"	"S02"	"IS02"
"44"	"TCGA.DX.A1L3"	"S02"	"IS02"
"45"	"TCGA.DX.A23V"	"S02"	"IS02"
"46"	"TCGA.DX.A23Y"	"S02"	"IS02"
"47"	"TCGA.DX.A23Z"	"S02"	"IS02"
"48"	"TCGA.DX.A2J0"	"S02"	"IS02"
"49"	"TCGA.DX.A3LS"	"S02"	"IS02"
"50"	"TCGA.DX.A3LW"	"S02"	"IS02"
